No.,年月日,目撃年月日,時間,目撃市町村,場所,天候,目撃時のクマ,目撃時の目撃者の行動,目撃した環境,その後の対応,人身被害の有無,推定年齢,目撃頭数,注意事項,緯度,経度
43,2026/5/28,2026年5月28日.,10:45,北杜市,小淵沢町上笹尾地内,曇り,道路上を歩いていたところ、西側の沢の方向から出てきた。その後、沢の方向へ戻っていった,近隣住民,道路上,5月28日午前11時頃通報。防災無線による注意喚起、パトロール実施、猟友会への連絡。関係機関への情報共有。通報後、現場確認を行ったところ、足跡等の痕跡はなかったため、熊と断定はしていない状況。念のため、注意喚起を実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.87768,138.3312
44,2026/5/29,2026年5月29日.,10:00,大月市,大月町花咲,晴れ,むすび山周辺で目撃があり、、山の方へ向かった,近隣住民,市街地付近の山,防災無線による注意喚起、警察パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.60628551,138.9351163
45,2026/5/29,2026年5月29日.,10:00,甲府市,愛宕町,晴れ,大型獣の糞を発見,不明,山間部の公園内,パトロール実施、注意喚起、施設の利用制限,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.67514,138.58504
46,2026/5/29,2026年5月29日.,7:40,忍野村,忍野村内野,晴れ,内野原地区第１戦の交差点付近を歩いていた,近隣住民,水田地帯,防災無線、現地パトロール、学校及び福祉施設等関係機関への注意喚起,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.455981,138.864667
47,2026/5/30,2026年5月30日.,18:30,甲府市,平瀬町,晴れ,道路を横断するクマを目撃,通行人（車）,山間部の公道,パトロール実施、防災無線・看板による注意喚起,無し,オトナ・コドモ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.707057,138.528435
48,2026/5/30,2026年5月30日.,16:00,富士吉田市,上吉田地内,晴れ,自動車で走行中、道路を西側から東側に横断し森林に入っていったところを目撃した,自動車運転手,山間部の公道,防災無線による注意喚起、市役所・警察によるパトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.45978,138.78184
49,2026/5/31,2026年5月31日.,6:30,富士吉田市,上吉田地内,晴れ,管理地パトロール中の職員が目撃,団体職員,山林内,防災無線による注意喚起、市役所・警察パトロール実施、猟友会による山林内の捜索・追払い,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.45376,138.79287
50,2026/6/1,2026年6月1日.,20:30,北杜市,須玉町若神子地内,晴れ,車で七里岩ライン南から北へ走行中に目撃。道路東にある用水路から現れた,近隣住民,道路上,R8.6.1　LINE通報システムによる情報提供。防災無線や市ホームページによる周知と看板設置。各関係機関への情報共有。パトロールの実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.779693,138.402473
51,2026/6/1,2026年6月1日.,21:20,北杜市,須玉町若神子地内,晴れ,七里岩ラインを北上中に目撃。西から東へ道路を横断していった,近隣住民,道路上,R8.6.1　LINE通報システムによる情報提供。防災無線や市ホームページによる周知と看板設置。各関係機関への情報共有。パトロールの実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.781523,138.400902
52,2026/6/1,2026年6月1日.,6:00,小菅村,田元地内,晴れ,目撃はしていないが、養魚場内の餌が荒らされた痕跡があり,飼育員,養魚場内,注意喚起,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.7552,138.947078
53,2026/6/2,2026年6月2日.,7:40,大月市,七保町浅川,曇り,川久保バス停付近の目撃があり、国道方面へ向かった,近隣住民,山間部の公道,防災無線による注意喚起、警察パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.65495028,138.9825005
